,Data Targets,Label,Website,Notes
21,/beers/great-beers/,Cobra,https://www.beeradvocate.com/beer/profile/10174/,
22,https://avbypass2.millercoors.com/av/gate/?url=https%3A//www.coloradonative.com,Colorado Native,https://www.coloradonative.com/the-beer,
23,/beers/great-beers/,Cool,"https://www.beeradvocate.com/beer/profile/3255/, https://www.coolbeer.com/",haven’t verified ownership
24,/beers/great-beers/coors-banquet,Coors Banquet,https://www.molsoncoors.com/beers/great-beers/coors-banquet,
25,/beers/great-beers/,Coors Edge,,
26,/beers/great-beers/coors-light,Coors Light,https://www.molsoncoors.com/beers/great-beers/coors-light,
27,/beers/great-beers/Coors Organic,Coors Organic,,
28,/beers/great-beers/creemore-springs,Creemore Springs,https://www.beeradvocate.com/beer/profile/455/,owned by molson
29,https://avbypass2.millercoors.com/av/gate/?url=https%3A//www.crispincider.com/,Crispin Cider,https://www.crispincider.com/#,ciders
30,/beers/great-beers/cristal,Cristal,https://www.cristal.com.pe/node,
31,/beers/great-beers/cusquena,Cusqueña,https://www.cusquena.com/sm_agegate?destination=/,
32,/beers/great-beers/extra-gold-lager,Extra Gold Lager,https://www.molsoncoors.com/beers/great-beers/extra-gold-lager,
33,/beers/great-beers/fosters,Foster's,https://www.fostersbeer.com/beer#,
34,/beers/great-beers/franciscan-well,Franciscan Well,https://www.beeradvocate.com/beer/profile/2294/,"owned by molson, http://www.brewersguardian.com/brewing-features/breweries/1529.html"
35,/beers/great-beers/george-killians-irish-red,George Killian's Irish Red,https://www.georgekillians.com/beer,
36,/beers/great-beers/granville-island-brewing,Granville Island Brewing,https://www.beeradvocate.com/beer/profile/780/,owned by molson
37,/beers/great-beers/grolsch-premium-lager,Grolsch Premium Lager,https://www.grolsch.com/our-beers,
38,/beers/great-beers/hamms,Hamm's,https://www.beeradvocate.com/beer/profile/320/,owned by miller
39,/beers/great-beers/henry-weinhards,Henry Weinhard's,https://www.henryweinhards.com/the-beer,
40,/beers/great-beers/,Henry Weinhard’s Gourmet Sodas,,
41,https://avbypass2.millercoors.com/av/gate/?url=https%3A//www.henryshardsoda.com,Henry's Hard Soda,,
42,/beers/great-beers/henrys-hard-sparkling-water,Henry's Hard Sparkling Water,https://www.henryshardsparkling.com/?avtoken=eyJpYXQiOjE1OTUyNjY3MTksImV4cCI6MTU5NTM1MzExOSwiZGF0YSI6eyJpcCI6IjE4NC43My4xODYuNzgiLCJ1cmwiOiJodHRwczpcL1wvd3d3LmhlbnJ5c2hhcmRzcGFya2xpbmcuY29tIn19.4_RiMDzLk2pO20IVzMRnRk9tIXfPHofRERMBwMnrshc,
43,/beers/great-beers/herman-josephs-private-reserve,Herman Joseph's Private Reserve,https://www.molsoncoors.com/beers/great-beers/herman-josephs-private-reserve,
44,https://www.hopvalleybrewing.com/,Hop Valley,https://www.hopvalleybrewing.com/beer/,owned by miller coors
45,/beers/great-beers/icehouse,Icehouse,https://www.icehouse.com/##Icehouse_Beer,
46,/beers/great-beers/,India Beer,https://www.beeradvocate.com/beer/profile/433/14288/,
47,/beers/great-beers/jelen,Jelen,https://www.beeradvocate.com/beer/profile/12226/30981/,
48,/beers/great-beers/kamenitza,Kamenitza,https://www.beeradvocate.com/beer/profile/2181/,owned by molson
49,/beers/great-beers/,Kamenitza Non-Alcoholic,,
50,/beers/great-beers/keystone,Keystone,https://www.molsoncoors.com/beers/great-beers/keystone,
51,/beers/great-beers/,Laurentide,https://www.beeradvocate.com/beer/profile/433/23980/,
52,/beers/great-beers/lech-premium,Lech Premium,https://www.lech.pl/,
53,https://avbypass2.millercoors.com/av/gate/?url=https%3A//www.leinie.com,Leinenkugel's,https://www.leinie.com/our-beers,
54,/beers/great-beers/,Mad & Noisy,https://www.beeradvocate.com/beer/profile/455/276092/,
55,/beers/great-beers/,Mad Jack,https://www.beeradvocate.com/beer/profile/433/130333/,
56,/beers/great-beers/magnum,Magnum,https://www.beeradvocate.com/beer/profile/105/809/,owned by miller
57,/beers/great-beers/mickeys,Mickey's,https://www.mickeys.com/ourproducts#,
58,/beers/great-beers/miller-genuine-draft,Miller Genuine Draft,,
59,/beers/great-beers/miller-high-life,Miller High Life,,
60,/beers/great-beers/miller-lite,Miller Lite,,
61,/beers/great-beers/miller64,Miller64,,
62,/beers/great-beers/milwaukees-best,Milwaukee's Best,https://www.molsoncoors.com/beers/great-beers/milwaukees-best,
63,https://avbypass2.millercoors.com/av/gate/?url=https%3A//us.molsoncanadian.com,Molson Canadian,,
64,/beers/great-beers/,Molson Canadian Cold Shots,,
65,/beers/great-beers/,Molson Dry,,
66,/beers/great-beers/,Molson Exel,,
67,/beers/great-beers/molson-export,Molson Export,,
68,/beers/great-beers/,Molson Stock Ale,,
69,/beers/great-beers/,Molson Ultra / Molson67,,
70,/beers/great-beers/,Movo,https://www.molsoncoorsblog.com/tag/movo,wine spritzer
71,/beers/great-beers/niksicko,Niksicko,https://www.beeradvocate.com/beer/profile/1943/,owned by molson
72,/beers/great-beers/,Noroc,https://www.beeradvocate.com/beer/profile/1704/104619/,
73,/beers/great-beers/,Old Style Pilsner,https://www.beeradvocate.com/beer/profile/433/5285/,
74,/beers/great-beers/old-vienna,Old Vienna,https://www.molsoncoors.com/beers/great-beers/old-vienna,
75,/beers/great-beers/olde-english-800,Olde English 800,https://www.molsoncoors.com/beers/great-beers/olde-english-800,
76,/beers/great-beers/,Ostravar,https://www.beeradvocate.com/beer/profile/13199/,part of InBev ?
77,/beers/great-beers/ozujsko,Ozujsko,https://www.beeradvocate.com/beer/profile/1720/34462/,
78,/beers/great-beers/,Pernstejn,https://www.beeradvocate.com/beer/profile/1200/,not verified
79,/beers/great-beers/peroni,Peroni,https://www.molsoncoors.com/beers/great-beers/peroni,
80,/beers/great-beers/pilsner-urquell,Pilsner Urquell,https://www.pilsnerurquell.com/,
81,/beers/great-beers/,Porter,,
82,/beers/great-beers/,Pravha,,
83,/beers/great-beers/red-dog,Red Dog,https://www.molsoncoors.com/beers/great-beers/red-dog,
84,https://avbypass2.millercoors.com/av/gate/?url=https%3A//www.reddsapple.com,Redd's,https://www.reddsapple.com/our-beers/redds-apple-ale,
85,https://avbypass2.millercoors.com/av/gate/?url=https%3A//www.reddswickedapple.com,Redd's Wicked,https://www.reddswickedapple.com/?avtoken=eyJpYXQiOjE1OTUyMDU5NDUsImV4cCI6MTU5NTI5MjM0NSwiZGF0YSI6eyJpcCI6IjE4NC43My4xODYuNzgiLCJ1cmwiOiJodHRwczpcL1wvd3d3LnJlZGRzd2lja2VkYXBwbGUuY29tIn19.MMkg5PzGophycVoYp5sqEP8Bk5h5d60vEVr6XiXWa6Q#,
86,/beers/great-beers/,Rekorderlig,http://www.rekorderlig.com/gb/,"Cider, not sure who owns"
87,https://revolverbrewing.com/,Revolver,https://revolverbrewing.com/pages/beers,
88,/beers/great-beers/rickards,Rickards,https://www.beeradvocate.com/beer/profile/433/2037/,rest are on the molson beer advocate page
89,https://www.saintarcherbrewery.com/,Saint Archer,"https://www.saintarcherbrewery.com/beer/, https://www.beeradvocate.com/beer/profile/31407/",owned by miller coors
90,/beers/great-beers/,Saint Archer Gold,,
91,/beers/great-beers/sharps,Sharp's,https://www.molsoncoors.com/beers/great-beers/sharps,
92,/beers/great-beers/smith-forge-hard-cider,Smith & Forge Hard Cider,https://www.molsoncoors.com/beers/great-beers/smith-forge-hard-cider,
93,/beers/great-beers/sol-cerveza,Sol Cerveza,https://www.molsoncoors.com/beers/great-beers/sol-cerveza,
94,/beers/great-beers/sparks,Sparks,https://www.molsoncoors.com/beers/great-beers/sparks,
95,/beers/great-beers/,Standard Lager,https://www.beeradvocate.com/beer/profile/22167/249776/,who knows
96,/beers/great-beers/staropramen,Staropramen,https://www.beeradvocate.com/beer/profile/437/,owned by molson
97,/beers/great-beers/,Staropramen Non-Alcoholic,,
98,/beers/great-beers/steel-reserve,Steel Reserve,https://www.molsoncoors.com/beers/great-beers/steel-reserve,
99,/beers/great-beers/,Taxis,,
100,https://terrapinbeer.com/,Terrapin,"https://www.terrapinbeer.com/beer, https://www.beeradvocate.com/beer/profile/2372/",miller coors
101,/beers/great-beers/,Tomislav,https://www.beeradvocate.com/beer/profile/1720/42822/,
102,/beers/great-beers/tyskie-gronie,Tyskie Gronie,https://www.molsoncoors.com/beers/great-beers/tyskie-gronie,
103,/beers/great-beers/vizzy-hard-seltzer,Vizzy,,hard seltzer
104,/beers/great-beers/,Wanderoot,,"cider, might be in molson’s list"
105,/beers/great-beers/,Winterfest,https://www.beeradvocate.com/beer/profile/306/20765/,
106,/beers/great-beers/,Worthingtons,https://www.beeradvocate.com/beer/profile/433/,says it is inbev
,,Molson,"https://justbeerapp.com/brand/molson-1, https://www.beeradvocate.com/beer/profile/433/",
,,Thomas Caffrey Brewing company,https://www.beeradvocate.com/beer/profile/297/,
,,AC Golden Brewing Company,https://www.beeradvocate.com/beer/profile/17948/,
,,Apatinska Pivara A.D.,https://www.beeradvocate.com/beer/profile/12226/,owned by molson
,,Zagreba?ka_pivovara,https://www.beeradvocate.com/beer/profile/1720/,owned by molson
,,Molson Coors,https://www.beeradvocate.com/beer/profile/306/,owned by molson
